"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"452","0420","2009","Eidskog",7665,58.4538026398492,54.3275217932752,56.3809821707851,27.1,10.2,11,8.2,13.7,1.7,2.1,1.2,35379
"453","0420","2010","Eidskog",7531,58.6064269805918,54.2713567839196,56.4248458985301,27.1,10.2,11.3,8.5,14,1.8,2.2,1.3,37526
"454","0420","2011","Eidskog",8296,59.0822179732314,54.2549826004429,56.6597872678203,26.4,10.3,11.7,9,14.3,1.9,2.3,1.5,36566
"455","0420","2012","Eidskog",9993,58.8273195876289,54.1143216080402,56.4408396946565,28,10,11.9,9,14.7,1.9,2.4,1.5,36962
"456","0420","2013","Eidskog",9497,58.5209003215434,54.2559899117276,56.3673989175422,28,9.6,12.3,9.3,15.2,2.1,2.5,1.7,36840
"457","0420","2014","Eidskog",8880,58.3118556701031,54.3029533185138,56.2929793699025,28.2,9.3,12.6,9.2,16,2.4,2.6,2.2,35372
"458","0420","2015","Eidskog",10359,57.746021435531,54.9044585987261,56.3113040681782,28.1,10.2,13.2,9.1,17.3,2.3,2.5,2.1,35788
"459","0420","2016","Eidskog",10884,57.834478246647,55.3970826580227,56.6102246825138,27.5,10.8,13.6,9.6,17.6,2.6,2.7,2.4,38170
"460","0420","2017","Eidskog",11872,58.1448705342511,55.3966189856957,56.7651379141505,27.7,10.5,13.7,9.7,17.7,2.6,2.9,2.4,37938
"461","0423","2008","Grue",6753,58.148893360161,54.6471268800617,56.3607719574636,26.6,11.2,13.3,9.7,16.7,1.5,1.9,1.2,34476
"462","0423","2009","Grue",6103,58.048976314733,54.9246813441483,56.4566929133858,26.2,10.9,13.4,9.6,16.9,1.7,2,1.4,34863
"463","0423","2010","Grue",7337,57.6073865917302,55.6629300347893,56.6167782591572,27.6,10.6,13.9,10.2,17.4,1.8,2.1,1.5,32682
"464","0423","2011","Grue",7646,57.8055667607906,54.3025540275049,56.031050955414,26.6,10.5,14.3,10.5,18.1,1.8,2.1,1.5,39123
"465","0423","2012","Grue",7080,57.1486268174475,53.185595567867,55.1469118528883,26.1,10.5,14.6,10.5,18.6,1.9,2.1,1.7,40401
"466","0423","2013","Grue",7139,56.7775974025974,52.8622187129886,54.7928757254353,27.8,10.4,14.9,10.9,18.7,1.9,2.2,1.7,39578
"467","0423","2014","Grue",8051,56.722517368206,52.9388244702119,54.8100242522231,28.7,10.6,14.8,11,18.6,2.1,2.3,1.9,43393
"468","0423","2015","Grue",7791,56.3963210702341,52.092645266152,54.2138883165053,29.7,9.6,15.2,11.2,19.1,2.4,2.6,2.1,45290
"469","0423","2016","Grue",9469,56.3938618925831,52.7513446421183,54.5454545454545,28.9,10.1,15.2,11.5,18.9,2.4,2.4,2.5,39924
"470","0423","2017","Grue",9329,56.6204287515763,52.6688907422852,54.636801339753,28.2,10.2,15.7,12,19.4,2.8,2.9,2.7,40402
"471","0425","2008","Åsnes",7529,57.0026525198939,53.9228548937287,55.454425537528,25.7,11.1,12.5,8.5,16.4,1.5,2.1,1,61443
"472","0425","2009","Åsnes",7796,56.8008418837148,53.9511682856393,55.3745072273325,26.6,10.3,12.8,8.6,16.8,1.7,2.3,1.1,61945
"473","0425","2010","Åsnes",8518,56.8157894736842,54.3997898607828,55.6066780596819,26.3,10.6,13,8.9,17,1.7,2.2,1.1,65773
"474","0425","2011","Åsnes",8901,56.5993177643663,54.2260961436873,55.4166118204554,26.5,10.5,13.5,9.4,17.6,1.7,2.3,1.2,62810
"475","0425","2012","Åsnes",8644,56.552445723254,54.2955326460481,55.4299237444123,27.1,10.6,13.9,9.2,18.5,1.8,2.3,1.2,63277
"476","0425","2013","Åsnes",8894,55.8492541219576,54.8028578989151,55.3289473684211,28.2,10.9,14.4,9.6,19.1,1.9,2.5,1.3,63886
"477","0425","2014","Åsnes",8935,56.4528899445764,54.3009320905459,55.3817603393425,29.1,10.7,15.2,10.3,20.1,2.2,2.6,1.7,64830
"478","0425","2015","Åsnes",10257,56.7723342939481,54.6741452991453,55.7333686020368,27.3,10.5,15.3,10.2,20.5,2.1,2.6,1.7,66019
"479","0425","2016","Åsnes",11520,56.2084551980856,54.5060893098782,55.3648068669528,26.2,11.1,15.9,10.7,21.2,2.4,3,1.9,67238
"480","0425","2017","Åsnes",9017,55.5222252522498,54.2326597487712,54.8778823850457,26.7,11.5,16.3,10.6,22.2,2.7,3,2.4,67013
"481","0426","2008","Våler (Hedmark)",7471,60.1546391752577,55.469155002592,57.8185577668648,24.1,10.5,12,10.3,13.7,1.6,1.9,1.3,26604
"482","0426","2009","Våler (Hedmark)",6422,59.9179907739621,56.1522419186653,58.051176014474,24.3,9.6,12.5,10.6,14.4,1.8,2.1,1.5,29688
"483","0426","2010","Våler (Hedmark)",7574,59.2933947772657,56.8596765779864,58.0878552971576,24,10.3,13.5,10.8,16.1,1.8,1.9,1.7,31520
"484","0426","2011","Våler (Hedmark)",7931,58.4953940634596,57.1058091286307,57.8052550231839,24.4,9.9,13.6,11,16.2,1.8,2,1.7,33286
"485","0426","2012","Våler (Hedmark)",7773,57.7223088923557,55.960437272254,56.8418314255983,24.5,10,14.3,11.8,16.8,1.9,1.8,2,33298
"486","0426","2013","Våler (Hedmark)",6336,57.6923076923077,55.9411146161935,56.8217459487716,26.2,10.1,14.5,12,17,1.9,1.8,2,34836
"487","0426","2014","Våler (Hedmark)",9355,58.2681272822118,56.3236870310825,57.3090140100449,25.3,10.1,15,12.1,18,2.3,2.2,2.4,35283
"488","0426","2015","Våler (Hedmark)",8619,57.1129707112971,55.4313099041534,56.2796833773087,25.6,9.4,15.5,12.2,18.8,2.3,2.2,2.5,38118
"489","0426","2016","Våler (Hedmark)",11080,57.4132492113565,54.6286329386437,56.0372340425532,24.3,10.4,15.9,12.9,19,2.4,2.2,2.6,38751
"490","0426","2017","Våler (Hedmark)",9579,57.4299312533051,53.7796976241901,55.6238311514828,25.5,11,16,13,19.2,2.6,2.4,2.9,39041
"491","0427","2008","Elverum",12133,59.4915432293308,57.7619143374221,58.6077575134858,21.5,14.4,20.4,15.5,25,4.5,6.5,2.7,80681
"492","0427","2009","Elverum",13041,59.22653082441,57.8466428287644,58.5208513232082,21.5,15,20.9,15.9,25.5,4.5,6.3,2.9,80785
"493","0427","2010","Elverum",13414,59.0356480527509,57.8199052132701,58.4148431985479,21.9,14.4,21.4,16.3,26.2,4.6,6.2,3.1,79960
"494","0427","2011","Elverum",14501,59.1229684145968,57.7677520596312,58.4313529205666,22,14.6,21.6,16.3,26.5,4.7,6.2,3.4,80201
"495","0427","2012","Elverum",15260,58.6958726295508,57.7009037022641,58.1877729257642,21.6,15,22.1,16.5,27.4,5,6.4,3.7,82258
"496","0427","2013","Elverum",15595,58.3207944628348,57.2778099093889,57.7889200216291,21.3,14.9,22.7,16.7,28.2,5.2,6.5,3.9,85254
"497","0427","2014","Elverum",16242,58.0606663351566,57.0612866387514,57.5499683898264,21.3,14.8,22.9,17.1,28.5,5.5,6.6,4.4,87605
"498","0427","2015","Elverum",16704,58.4395216624191,56.9958459214501,57.7041454265654,21.8,15,23.4,17.4,29,5.7,6.6,4.8,85883
"499","0427","2016","Elverum",17650,58.2072176949942,57.4426412982653,57.8174037089872,21.7,15.6,24,18,29.7,5.9,6.5,5.2,86388
"500","0427","2017","Elverum",18757,58.3244757947628,57.2971966098538,57.8013848050839,21.6,15.4,24.3,18.1,30.2,5.9,6.4,5.3,87428
"501","0428","2008","Trysil",10564,58.3088667058133,54.1829085457271,56.2676160807002,25.6,11.2,12.7,10,15.4,2.1,3,1.2,84212
"502","0428","2009","Trysil",8369,58.0268534734384,53.6262413481794,55.8601274262854,25.2,10.8,13.3,10.4,16.1,2.2,3.1,1.4,85010
"503","0428","2010","Trysil",10985,57.7349678925861,54.0005993407252,55.8923554635517,25.5,11,13.9,10.9,16.9,2.2,2.9,1.5,85995
"504","0428","2011","Trysil",10735,56.9221801224133,54.9804393620223,55.9668344684631,26.4,9.8,14.3,10.8,17.7,2.4,3.2,1.6,85025
"505","0428","2012","Trysil",9953,56.8633177570093,55.0480769230769,55.9686018957346,26.2,9.4,14.7,11.2,18.3,2.4,3,1.7,86265
"506","0428","2013","Trysil",11373,57.0457902511078,54.5399515738499,55.8080430557632,27,9.1,15,11.2,18.8,2.5,3.2,1.8,85271
"507","0428","2014","Trysil",9581,56.7164179104478,54.8150412717823,55.7770729497055,27.3,8.8,15.4,11.6,19.3,2.9,3.5,2.2,91338
"508","0428","2015","Trysil",12167,56.3956963538553,54.5454545454545,55.4878977013244,27.4,9.8,15.6,11.7,19.6,3.3,4,2.5,92185
"509","0428","2016","Trysil",11913,56.0396634615385,54.3009071004066,55.1877394636015,26.2,10.4,16.3,12.2,20.6,3.5,4.1,2.8,97417
"510","0428","2017","Trysil",11472,56.1676646706587,55.0155763239875,55.6030534351145,25.4,11.1,17.1,12.9,21.5,3.6,4.3,2.9,100231
"511","0429","2008","Åmot",7465,59.3466424682396,55.2470588235294,57.3342573342573,28.5,11.3,15.4,12.4,18.5,3.2,4.1,2.3,55301
"512","0429","2009","Åmot",7928,58.9186691312384,55.2930056710775,57.1261682242991,28.1,11.9,15.4,12.1,18.8,3,3.8,2.2,58007
"513","0429","2010","Åmot",8203,58.5377140212864,55.0376647834275,56.8028004667445,27.8,11.5,15.8,12.2,19.4,2.9,3.5,2.3,59078
"514","0429","2011","Åmot",8327,58.9895311788803,55.5188679245283,57.2851517257355,27.1,11.6,16.2,12.7,19.9,3.3,3.9,2.6,60810
"515","0429","2012","Åmot",7520,58.7073608617594,55.9981033665244,57.3899008531243,25.8,11.2,16.7,12.1,21.5,3.2,3.7,2.7,62926
"516","0429","2013","Åmot",8421,59.4666666666667,55.8259241927936,57.6931844084796,24.7,11.3,17.5,12.9,22.3,3.3,3.8,2.7,66327
"517","0429","2014","Åmot",9492,58.6312118570183,55.9463211476168,57.3288439955107,24.6,11.6,17.7,13.4,22.2,3.7,3.9,3.5,65157
"518","0429","2015","Åmot",10025,58.514335360556,54.7818012999072,56.7100538599641,24.5,11.9,18,13.5,22.8,3.5,3.6,3.3,66930
"519","0429","2016","Åmot",10494,59.7027972027972,55.3012610929472,57.5750733799955,25.4,11.6,19.3,14.6,24.3,3.4,3.4,3.3,70140
"520","0429","2017","Åmot",11725,59.8462195642888,55.5810748736794,57.7910579902612,26.2,11.5,19.1,14,24.7,3.6,3.7,3.4,68516
"521","0437","2008","Tynset",8176,57.7039274924471,54.6148255813954,56.1296296296296,20.7,14.9,18.8,13.1,24.4,4.2,5.8,2.7,106001
"522","0437","2009","Tynset",9361,56.8096313017306,54.9598832968636,55.8703703703704,21.1,14.4,19.3,13.2,25.1,4.4,6,3,110136
"523","0437","2010","Tynset",9158,57.2277963582311,55.2340121471954,56.2112932604736,20.9,15.4,19.3,13,25.4,4.6,6,3.4,110420
"524","0437","2011","Tynset",9882,57.4169741697417,55.1885098743268,56.287534121929,22,14.5,20.2,13.9,26.2,4.7,5.7,3.8,114067
"525","0437","2012","Tynset",9351,57.4329224075417,55.0249465431219,56.2185478073329,21.5,14.3,20.7,14.3,26.8,5.1,6,4.3,113071
"526","0437","2013","Tynset",10524,57.4909090909091,55.1418439716312,56.3016157989228,21.5,14.8,21.2,14.5,27.7,5.3,6.3,4.3,113757
"527","0437","2014","Tynset",9138,57.2155579789168,54.9320943531094,56.0641557037304,21.6,14.3,21.9,15.3,28.5,5.8,6.8,4.8,114149
"528","0437","2015","Tynset",10770,57.075642417662,54.8052876027153,55.933117583603,21.5,15.1,21.7,14.9,28.5,5.7,6.5,4.8,110208
"529","0437","2016","Tynset",12872,56.5813198701767,54.5422158888493,55.5555555555556,21.7,15.1,22.2,15.3,28.9,5.8,6.3,5.3,111948
"530","0437","2017","Tynset",12041,57.0140641904075,54.9270722162931,55.9634670487106,22.2,16.2,22.7,15.7,29.4,6.1,6.6,5.7,111956
"531","0501","2008","Lillehammer",16226,58.9258638576331,57.9539448848622,58.4264432029795,22.5,16.9,25.9,21.1,30.2,7.4,10.4,4.6,91182
"532","0501","2009","Lillehammer",16803,58.8898525585429,57.9986588182699,58.4316579834508,22,17.2,26.2,21.4,30.5,7.7,10.6,5,92385
"533","0501","2010","Lillehammer",17337,59.08026233604,58.1669490901054,58.6103635191994,21.9,17.3,26.8,22,31.2,8,10.8,5.5,93722
"534","0501","2011","Lillehammer",19514,59.1304347826087,57.9869987583084,58.5412667946257,21.5,17.3,27.3,22.5,31.7,8.3,11,5.9,96398
"535","0501","2012","Lillehammer",21045,59.0222971419815,57.7366195129065,58.3635344666542,21.9,17.3,27.6,22.8,31.9,8.6,11.2,6.1,97735
"536","0501","2013","Lillehammer",21283,58.9258351210542,57.5590665313814,58.2234636871508,20.4,17.9,28.1,23.1,32.7,8.9,11.4,6.7,98806
"537","0501","2014","Lillehammer",21105,59.0926362185576,58.0142764438676,58.5392925854669,20.9,17.9,28.3,23.2,33.1,9.5,11.8,7.3,104326
"538","0501","2015","Lillehammer",21887,59.2964824120603,57.7289324837116,58.4945054945055,20.3,18.4,28.7,23.6,33.5,9.7,11.9,7.6,106740
"539","0501","2016","Lillehammer",23414,59.291837495341,57.8266126164569,58.5420002911632,20.5,18.8,29.2,24,34.1,10,12,8.2,109552
"540","0501","2017","Lillehammer",25712,59.3950571744744,57.9713201180936,58.6659947446096,20.6,19.1,29.5,24.4,34.2,10.5,12.3,8.8,110806
"541","0502","2008","Gjøvik",12599,60.8410743861165,57.8673511863466,59.3265255644677,22.8,14.5,19.5,16.2,22.6,4.2,5.6,3,81033
"542","0502","2009","Gjøvik",13329,60.8871827681808,57.7557755775578,59.2953759043724,23,14.4,19.9,16.3,23.3,4.5,5.8,3.2,82650
"543","0502","2010","Gjøvik",13739,60.3655536028119,57.8315731724043,59.0828618044225,23.3,14.7,20.4,16.6,23.9,4.7,5.9,3.5,84169
"544","0502","2011","Gjøvik",14819,60.0938638274026,57.7629609470676,58.9114378408228,23.2,14.6,20.7,17,24.3,4.9,6,3.9,85469
"545","0502","2012","Gjøvik",15021,60.4210087536474,57.4486763911399,58.9137730292446,23.3,14.2,21.2,17.3,24.9,5.1,6.1,4.1,88405
"546","0502","2013","Gjøvik",15485,60.2399725745629,57.5833220887869,58.9009419525963,23.7,14.2,21.7,17.6,25.6,5.3,6.3,4.3,90447
"547","0502","2014","Gjøvik",16428,59.8290018321232,57.8326970732034,58.8243225023595,23.2,14.7,22.3,18.2,26.3,5.8,6.8,4.9,94848
"548","0502","2015","Gjøvik",17747,59.8370508882062,57.6048777254954,58.7166949406247,23,15.1,22.8,18.6,26.9,6,6.9,5.2,95303
"549","0502","2016","Gjøvik",19521,59.5089581950896,57.2509457755359,58.380064372698,22.9,16,23.2,18.8,27.5,6.4,7.1,5.7,97039
"550","0502","2017","Gjøvik",20323,59.3715000988207,57.0541611624835,58.2143210528052,22.7,15.9,23.5,19.3,27.6,6.4,7,5.8,97574
"551","0516","2008","Nord-Fron",8246,58.1331503088538,57.2073636679403,57.6730536854825,23.9,14.5,13.8,10.1,17.5,2.2,2.9,1.4,77429
"552","0516","2009","Nord-Fron",9114,58.1252138214164,56.8995481404241,57.5172413793103,23.6,13.6,14,10.1,17.8,2.3,3,1.7,77274
"553","0516","2010","Nord-Fron",10572,57.381520627344,56.1562608998954,56.7758620689655,23.4,13.5,14.2,10.2,18.1,2.4,2.9,1.9,74574
"554","0516","2011","Nord-Fron",9780,57.9445571331981,56.0848400556328,57.0277682550566,23.5,12.5,14.7,10.6,18.8,2.6,3.1,2,74756
"555","0516","2012","Nord-Fron",11362,57.6962283384302,55.3862140630412,56.5523156089194,23.6,13.4,15.3,10.9,19.8,2.6,3.1,2.2,74414
"556","0516","2013","Nord-Fron",10223,57.1379781420765,55.5363918592618,56.3411704135919,23.8,14.6,15.9,11,20.7,2.7,3.1,2.4,77227
"557","0516","2014","Nord-Fron",11060,56.0386473429952,55.4237879316359,55.7328707718994,23.7,14.8,16.1,11.4,20.9,3,3.3,2.6,82730
"558","0516","2015","Nord-Fron",11182,55.968352253182,54.7593958552863,55.3701772679875,24.1,14.5,16.3,10.9,21.8,3.1,3.6,2.7,78669
"559","0516","2016","Nord-Fron",11573,56.1009332872451,54.4241573033708,55.2691168785926,24.1,14.4,16.7,11.5,22.1,3.1,3.3,2.9,81642
"560","0516","2017","Nord-Fron",12335,55.824403733149,53.7455830388693,54.7964354359602,25.3,14,17.4,12.1,22.7,3.1,3.3,2.9,91746
"561","0517","2008","Sel",8490,57.4172185430464,55.2763819095477,56.353039134055,22.5,11.1,12.5,9.1,15.9,1.9,2.5,1.3,87315
"562","0517","2009","Sel",9031,57.227919285478,55.2473262032086,56.2427265170407,23.8,10,12.8,9.1,16.4,2.2,2.6,1.7,87416
"563","0517","2010","Sel",9579,56.773766147731,55.4026845637584,56.0926821136856,24,10.7,13.1,9.5,16.8,2.3,2.9,1.8,86822
"564","0517","2011","Sel",10109,57.0394736842105,54.9257759784076,55.9960026648901,23.5,10.5,13.8,10.1,17.6,2.3,2.8,1.9,86014
"565","0517","2012","Sel",9243,56.9499341238472,55.1082543978349,56.041388518024,24.2,10.4,14.7,10.5,18.9,2.4,2.9,2,90203
"566","0517","2013","Sel",10082,56.9813829787234,54.6875,55.8467741935484,24.8,11.3,14.8,10.6,19.2,2.5,3,2,85830
"567","0517","2014","Sel",11321,57.2422936692078,55.1910720324653,56.2269835955808,25.1,11,14.9,10.7,19.4,2.8,3,2.5,89256
"568","0517","2015","Sel",10405,57.1334431630972,54.8805460750853,56.0268231349539,25.2,11,15.1,10.7,19.8,3.1,3.3,2.8,92473
"569","0517","2016","Sel",11452,57.0099667774086,53.7777777777778,55.4170176916596,25.3,11.1,15.4,11,19.9,3.4,3.6,3.1,91530
"570","0517","2017","Sel",11597,56.9369973190349,53.3083219645293,55.1386071670047,23.9,11.6,16,11.3,20.7,3.2,3.5,3,90485
"571","0520","2008","Ringebu",8349,58.3992963940194,54.251550044287,56.3327449249779,23.2,13.3,12.9,9.5,16.2,2.8,3.2,2.4,56211
"572","0520","2009","Ringebu",8780,58.4249890013198,54.5936395759717,56.5131143927706,24.7,12.3,13,9.6,16.4,3,3.2,2.8,63542
"573","0520","2010","Ringebu",8163,58.0376697328077,54.0097474523704,56.0352422907489,25,13.1,13.5,9.8,17.1,3.1,3.3,2.8,65671
"574","0520","2011","Ringebu",9110,59.0265486725664,53.9634146341463,56.4749780509219,24.4,12.3,14.1,10.2,18,2.9,3,2.7,67094
"575","0520","2012","Ringebu",9624,58.6994727592267,54.0481400437637,56.369217276913,24.1,12.2,14.3,9.9,18.7,2.9,2.9,2.9,68475
"576","0520","2013","Ringebu",9427,58.5376727596968,54.1056369285397,56.3167259786477,25.9,13.2,14.4,10.1,18.5,2.9,2.8,3,71422
"577","0520","2014","Ringebu",9321,58.2631812140009,53.7086684539768,55.9955506117909,25.4,12.1,14.9,10.9,19,3.2,3,3.4,74928
"578","0520","2015","Ringebu",9567,58.0905423576871,52.8725314183124,55.4832922179861,26.1,13.3,15.2,10.8,19.8,3.4,3.6,3.3,77230
"579","0520","2016","Ringebu",10893,57.850133809099,53.2882882882883,55.5804571940834,25.4,13.1,15.8,11.2,20.5,3.6,3.5,3.7,90473
"580","0520","2017","Ringebu",11665,57.3653760569648,52.8159645232816,55.0866281652599,24.2,14.3,16.2,11.1,21.3,3.7,3.4,4,83582
"581","0521","2008","Øyer",12158,58.3631307111641,55.9286898839138,57.1718401298438,18.6,16,16.1,12.2,20.2,3.5,4.4,2.6,46868
"582","0521","2009","Øyer",11173,59.0818363273453,56.2189054726368,57.6774455969087,19.1,15,16.4,12.4,20.7,3.6,4.6,2.5,52592
"583","0521","2010","Øyer",14455,59.4743036484896,56.5022421524664,58.0167932826869,21.1,14.6,16.5,12.3,20.9,3.7,4.5,2.9,52857
"584","0521","2011","Øyer",13649,59.7003457548982,56.8501406187224,58.3071484681854,20.8,14.3,17,12.6,21.6,3.9,4.8,3,51379
"585","0521","2012","Øyer",14679,60.2834163155879,56.4009661835749,58.3905789990187,22.3,14,17.3,12.7,22.2,4.1,5,3.2,53836
"586","0521","2013","Øyer",14981,60.6938619900877,56.3130294473578,58.5652685221482,22.5,15.3,17.7,13.1,22.5,4.1,4.9,3.2,55711
"587","0521","2014","Øyer",15109,60.5828220858896,56.204673650282,58.4479371316306,22.3,14.9,18.4,13.6,23.4,4.7,5.5,3.9,58853
"588","0521","2015","Øyer",14630,60.7919254658385,56.7296102852551,58.7956564659427,22.4,15.2,18.6,13.2,24.1,5,5.6,4.3,62591
"589","0521","2016","Øyer",15639,60.419091967404,56.7535070140281,58.6159305993691,21.5,15.7,19,13.6,24.7,5.1,5.6,4.5,65847
"590","0521","2017","Øyer",16338,60.2787456445993,56.6626650660264,58.5005903187721,21.7,15.5,19.6,13.8,25.6,5.5,6.4,4.5,72266
"591","0522","2008","Gausdal",9835,57.0123939986954,55.5337904015671,56.2734540708109,21.3,14.3,12.5,8.3,16.6,2.5,3,2.1,38908
"592","0522","2009","Gausdal",10852,57.2967678746327,55.2509907529723,56.279757018552,21.4,13.9,13.2,9.1,17.3,2.7,3.2,2.2,41660
"593","0522","2010","Gausdal",10890,57.1936631102489,55.755985569039,56.4799739498535,20.3,13.4,14,9.6,18.4,2.9,3.4,2.4,42857
"594","0522","2011","Gausdal",12166,56.7837576538833,55.4641211323239,56.1309233023937,21.9,13.4,14.8,10.1,19.5,2.7,3.1,2.4,44211
"595","0522","2012","Gausdal",12770,56.0702875399361,55.1815181518152,55.6331168831169,20.7,13.6,14.9,10.5,19.4,2.9,3,2.9,45311
"596","0522","2013","Gausdal",12965,56.111645813282,54.6296296296296,55.3818596319818,20.6,13.9,15.2,10.6,19.9,3.3,3.3,3.3,47950
"597","0522","2014","Gausdal",12113,56.4207221350078,54.4888597640891,55.4753888087221,19.7,13.3,15.7,10.7,20.7,3.5,3.6,3.5,48844
"598","0522","2015","Gausdal",13638,56.5586662472476,55.031342791158,55.8132045088567,19.4,13.3,16.6,11.2,22.1,3.7,3.8,3.6,51683
"599","0522","2016","Gausdal",12584,57.0625,54.8728113643872,55.9980729083026,19.3,13.9,16.9,11.5,22.5,3.8,3.9,3.8,53068
"600","0522","2017","Gausdal",14697,57.2595851665619,55.0628722700199,56.1895551257253,18.9,14,17.1,11.5,23,3.9,4,3.9,53225
"601","0528","2008","Østre Toten",9440,59.0280687054881,56.0153466703206,57.5074348156857,21.2,14.9,16,12,19.9,2.9,3.8,2,40938
"602","0528","2009","Østre Toten",10890,59.2313067784766,56.0131344917225,57.6050884955752,21.2,14.6,16.1,12,20,3,3.8,2.2,43406
"603","0528","2010","Østre Toten",11162,59.2561638111158,55.7160376073034,57.4665931946549,21.4,14.6,16.4,12,20.7,3.1,3.8,2.4,43303
"604","0528","2011","Østre Toten",11687,59.1718426501035,56.0674004620193,57.6075047932073,22.5,14.3,16.8,12.2,21.3,3.2,3.9,2.6,43241
"605","0528","2012","Østre Toten",12889,58.8371459694989,55.7746859381332,57.2997897877534,22.4,14,17.1,12.4,21.8,3.4,4,2.9,42586
"606","0528","2013","Østre Toten",12793,58.9285714285714,56.0075942500678,57.4698631992415,22.2,13.5,17.6,12.8,22.4,3.5,3.9,3,43011
"607","0528","2014","Østre Toten",13603,58.4961595472308,55.7504078303426,57.1293225959261,22.8,14,17.9,13.1,22.6,3.9,4.3,3.5,42946
"608","0528","2015","Østre Toten",14072,58.7523527830062,55.4226692035879,57.0965125709651,22.9,14,18.2,13.4,23.1,4,4.3,3.8,44467
"609","0528","2016","Østre Toten",14705,58.9682223108629,55.2200406228842,57.1112303770294,21.8,14.7,18.7,13.7,23.9,4.5,4.7,4.2,45760
"610","0528","2017","Østre Toten",16012,59.3775046753941,55.0601270098635,57.2311412641902,21.3,14.9,19.1,13.9,24.4,4.5,4.6,4.3,46351
"611","0529","2008","Vestre Toten",10092,60.6008178672539,57.9416918910307,59.2797783933518,19.4,14,15.1,12.1,18.1,2.3,3.4,1.3,44665
"612","0529","2009","Vestre Toten",10267,60.8163265306122,57.6134930643127,59.2181846783074,20,13,15.4,12.1,18.8,2.5,3.5,1.5,47145
"613","0529","2010","Vestre Toten",10827,60.3723404255319,57.2750078394481,58.8253719655442,19.7,12.8,15.4,12.1,18.7,2.5,3.4,1.6,47061
"614","0529","2011","Vestre Toten",11090,59.8688319800125,56.7744960150023,58.3222682183863,19.4,12.8,15.6,12,19.2,2.7,3.4,1.9,47306
"615","0529","2012","Vestre Toten",12026,59.3160012380068,56.6037735849057,57.9594678217822,20.2,12.1,15.8,11.7,20,2.7,3.3,2,47377
"616","0529","2013","Vestre Toten",12351,59.1153432652434,56.4118372379778,57.7659819986153,21.5,12.1,16.3,12.1,20.5,2.7,3.2,2.2,48901
"617","0529","2014","Vestre Toten",12940,58.954089388872,56.2875173156842,57.6290630975143,21.5,12.2,16.9,12.5,21.2,3.1,3.5,2.7,53792
"618","0529","2015","Vestre Toten",13781,58.9483255038642,56.1117045627957,57.5349756690998,20.5,12.6,17.2,12.7,21.7,3.3,3.6,2.9,55658
"619","0529","2016","Vestre Toten",14289,58.8931008339651,55.7630979498861,57.3292867981791,20.1,13.6,17.7,13.1,22.4,3.4,3.6,3.1,56695
"620","0529","2017","Vestre Toten",15267,59.136712287562,55.5130168453293,57.3412246756203,20.1,13.3,18,13.2,22.9,3.7,3.8,3.5,57136
"621","0532","2008","Jevnaker",12312,58.9005235602094,56.6875,57.7685421994885,20.3,15.5,15.5,12.3,18.4,2.3,3.3,1.5,43015
"622","0532","2009","Jevnaker",12187,59.2482690405539,57.147296457427,58.1666933290674,19.8,15.4,15.8,12.5,19,2.5,3.4,1.6,44343
"623","0532","2010","Jevnaker",12860,59.5494613124388,57.2230889235569,58.3599234205488,19.6,15.6,16.1,12.7,19.4,2.5,3.3,1.7,46167
"624","0532","2011","Jevnaker",12398,59.3649775497113,56.4640543042271,57.8864601352414,19,15.2,16.5,12.9,20,2.6,3.2,2,47599
"625","0532","2012","Jevnaker",13500,59.1575663026521,56.7419158023185,57.9361406756131,19.9,15.1,17,13.2,20.6,2.7,3.2,2.2,45255
"626","0532","2013","Jevnaker",13846,58.8456712672522,55.6511056511056,57.2315332091868,20.8,14.9,16.9,12.8,21,3.1,3.7,2.6,44883
"627","0532","2014","Jevnaker",15133,58.5864848109113,55.6838905775076,57.1209330877839,20.7,14.8,17.7,13,22.4,3.1,3.9,2.4,45189
"628","0532","2015","Jevnaker",16249,58.0526638089406,55.9255925592559,56.9783300500076,20.4,15.1,17.6,12.7,22.4,3.4,4.1,2.8,46931
"629","0532","2016","Jevnaker",17519,58.4554334554335,56.0990158067402,57.2635389953236,20.6,15.4,18.3,13.4,23,3.6,3.9,3.3,49743
"630","0532","2017","Jevnaker",18134,58.8483569490503,55.9337081976916,57.3775388291517,20.6,16.1,18.9,13.8,23.9,3.9,4.2,3.7,51286
"631","0533","2008","Lunner",13227,61.8881929946648,58.9923023093072,60.4442893696208,15.9,21.2,15.6,12.5,18.8,3.8,4.8,2.7,21636
"632","0533","2009","Lunner",13417,62.0681605975724,58.3411433926898,60.2081384471469,16,20.9,16.2,12.9,19.4,4,5,3,25027
"633","0533","2010","Lunner",14170,61.9312906220984,58.3643988816403,60.1511627906977,16,20.3,17,13.5,20.5,3.9,5,2.9,28202
"634","0533","2011","Lunner",13912,62.1198156682028,58.2522021325916,60.19181881211,15.6,19.9,17.3,13.7,21,4.1,5,3.2,31806
"635","0533","2012","Lunner",15639,60.9634174051352,58.9485714285714,59.9589790337284,16.1,19.7,18.2,14.3,22,4.3,5.2,3.4,31479
